Sample_ID,Temperature_C,Age_Ma,Eu_Anomaly,Ce_Anomaly
25CU01,754.8115965,65,0.505632435,1.175803034
25CU01,793.2497664,66,0.540865542,1.122627063
25CU01,686.8954103,63,0.482451657,1.174145782
25CU01,709.7488072,61,0.516682041,1.289997518
25CU01,803.3974374,65,0.544394838,1.134561762
25CU01,735.4774615,62,0.669523464,1.257061571
25CU01,729.3337544,65,0.660583369,1.299814862
25CU01,738.0144877,65,0.694765267,1.326568829
25CU01,740.244385,67,0.855950627,1.279009889
25CU01,819.6638189,66,0.958145795,1.431438639
25CU01,738.0144877,65,0.771460513,1.357368769
25CU01,737.2044967,66,0.806665074,1.328224895
25CU01,771.4718553,65,0.66948758,1.230450052
25CU01,791.8597226,66,0.528328444,1.304479026
25CU01,753.8679845,65,0.742385925,1.295513198
25CU01,680.6948915,62,1.349872093,1.608039521
25CU01,826.9723283,65,0.605859808,1.304398164
25CU01,698.0331982,65,1.033872454,1.504923206
25CU01,728.1505164,69,1.140401337,1.287217374
25CU01,769.7596405,67,0.947734889,1.463084628
25CU01,732.0390471,65,1.375040745,1.790726487
25CU01,831.8239571,65,1.067863573,1.46969486
25CU01,824.5256709,64,0.584545895,1.269886453
25CU01,826.0664908,62,0.61681947,1.319348175
25CU01,823.6780874,65,0.46494061,1.1827599
25CU01,693.1059796,67,0.877058257,1.427503099
25CU01,699.6792006,68,0.860341902,1.196515907
25CU01,708.1235452,79,2.159345672,1.345582264
25CU01,702.7130064,72,1.199452912,1.592454497
25CU01,814.4481635,66,0.656950089,1.244365483
25CU01,789.9982146,65,0.569138348,1.339158657
25CU01,702.3258677,61,0.71394854,1.256448615
25CU01,757.1268672,65,0.677953658,1.265149164
25CU01,646.4492515,67,0.864087679,1.319820888
25CU01,641.3432075,66,0.930895013,1.304441166
25CU01,643.2239842,66,0.714610478,1.335799719
25CU01,642.4797181,66,0.622178976,1.351936914
25CU01,645.3958354,66,0.777572747,1.270441564
25CU01,671.1480173,66,0.67369255,1.510080394
25CU01,727.6366063,65,1.12396001,1.361077864
25CU01,729.3337544,64,1.058530107,1.37348324
25CU01,616.1717287,64,0.658040988,1.526282829
25CU01,668.6598191,65,0.726051601,1.410556311
25CU01,621.5201921,68,0.615263329,1.397181806
25CU01,676.222942,65,0.571760478,1.508250785
25CU01,727.8940803,64,0.389062916,1.362021168
25CU01,709.057554,68,0.289500147,1.389466769
25CU01,656.5579698,65,0.337948087,1.353570338
25CU01,745.0164297,65,0.214973051,1.200046275
25CU01,658.8151704,64,0.210539577,1.25303285
25CU01,730.7416638,66,0.223127427,1.341579749
25CU01,711.4435542,66,0.22589261,1.304277115
25CU01,702.969724,66,0.207324777,1.251351767
25CU01,743.2166384,67,0.336735506,1.331329768
25CU01,554.4043875,71,0.995683115,1.431179034
25CU01,641.3432075,65,0.552611533,1.274720416
25CU01,580.7278534,65,0.603481445,1.338977602
25CU01,748.9726243,68,0.497501826,1.099070411
25CU01,714.2747738,64,1.008000713,1.487948787
25CU01,677.2253478,65,0.642505106,1.122984308
25CU01,667.9615713,63,3.053686685,1.998007886
25CU01,781.2599214,64,0.569610072,1.356012736
25CU01,767.5346522,63,0.513739592,1.190695908
25CU01,740.4561892,63,1.103340937,1.688398203
25CU01,732.0390471,61,0.504551827,1.479648478
,,,,
25SV1-1,734.6971374,73,0.59161004,1.30189899
25SV1-1,731.3172363,76,0.676351405,1.2996903
25SV1-1,705.9326618,72,0.697145379,1.180631195
25SV1-1,731.5211318,75,0.776349626,1.253199433
25SV1-1,723.2657598,74,1.704677826,1.343831053
25SV1-1,737.0724157,74,1.435279975,1.159875884
25SV1-1,754.1807806,74,1.268126549,1.349273503
25SV1-1,735.3711928,73,0.910061296,1.227177247
25SV1-1,736.2274778,74,0.677938397,1.276880217
25SV1-1,725.6579719,73,0.782156319,1.256881116
25SV1-1,822.1229044,73,0.719641833,1.407656518
25SV1-1,775.8146973,73,1.665434488,1.428253479
25SV1-1,771.4620871,74,0.678886324,1.455534062
25SV1-1,739.7214627,72,1.543165135,1.361195711
25SV1-1,714.8150381,73,0.527881636,0.971069253
25SV1-1,731.1126798,73,0.663419089,1.238145469
25SV1-1,771.6836177,74,0.737862541,1.521123421
25SV1-1,780.3988891,73,0.732624797,1.502165842
25SV1-1,741.9205703,73,0.736292693,1.407427909
25SV1-1,789.5299254,73,0.722461702,1.573895229
25SV1-1,733.2281876,77,0.659183725,1.300693754
25SV1-1,719.18547,74,0.588907837,1.083726338
25SV1-1,744.9612332,72,0.792422579,1.568334208
25SV1-1,733.2281876,73,0.819764112,1.394421957
25SV1-1,726.7656194,75,0.750418197,1.391970246
25SV1-1,751.7716758,75,0.692168,1.434895682
25SV1-1,753.5324167,73,0.756235632,1.390883668
25SV1-1,742.4373764,75,0.738866761,1.345987787
25SV1-1,760.5343685,72,0.604196949,1.480381027
25SV1-1,737.5370395,71,0.703706779,1.30210818
25SV1-1,731.5211318,76,0.757368761,1.418843305
25SV1-1,759.6157359,75,0.799039563,1.339883195
25SV1-1,727.4209032,74,0.71997287,1.313992399
25SV1-1,770.5125137,74,0.732877162,1.333104682
25SV1-1,730.5983668,72,0.7931291,1.425449594
25SV1-1,721.9749144,73,0.910114759,1.31286104
25SV1-1,721.1392228,73,0.814923514,1.275556388
25SV1-1,712.2290772,73,0.88840133,1.24693032
25SV1-1,742.5231101,74,0.731636259,1.270306561
25SV1-1,789.99951,75,0.735008945,1.532046041
25SV1-1,734.8904548,75,0.669843055,1.488897144
25SV1-1,747.3111196,74,0.643140367,1.327106379
25SV1-1,737.7219476,72,0.651354314,1.414526021
25SV1-1,725.5461179,72,0.834704563,1.321148103
25SV1-1,761.6331993,74,0.481221382,0.995475656
25SV1-1,717.805344,73,0.633341901,1.216931697
25SV1-1,709.2362786,74,0.759430753,1.20282639
25SV1-1,714.8150381,74,0.65827962,1.22595882
25SV1-1,704.0507175,74,0.708390203,1.281872324
25SV1-1,704.8420906,74,0.948714669,1.274753907
25SV1-1,700.7754097,74,0.795728981,1.367959272
25SV1-1,700.0980319,73,0.793947814,1.07263182
25SV1-1,703.0869666,73,0.817784184,1.263160944
25SV1-1,709.0899924,73,0.875288396,1.136670686
25SV1-1,718.6871872,71,0.606733856,1.043854242
25SV1-1,715.2134823,74,0.578148522,0.995032461
25SV1-1,713.603818,73,0.75529977,1.177728594
25SV1-1,714.4139708,74,0.792478925,1.14804524
25SV1-1,716.1331869,73,0.482602777,0.967038997
25SV1-1,711.3890116,72,0.715668196,1.235429246
25SV1-1,708.3531765,74,0.692597478,1.229899185
25SV1-1,705.7780801,74,0.565731173,1.208868156
25SV1-1,721.9749144,73,0.495198817,1.139186231
25SV1-1,702.924811,73,0.807338192,1.339448583
25SV1-1,708.6489873,72,0.731329815,1.212026623
25SV1-1,699.5848474,72,0.833959349,1.188435555
25SV1-1,721.0189102,73,0.895362733,1.188381788
25SV1-1,718.6871872,74,0.767180777,1.281944461
25SV1-1,721.3791472,74,0.632082664,1.026586303
25SV1-1,713.7395953,72,0.696235116,1.065309099
25SV1-1,688.660345,73,1.081592215,1.233342518
25SV1-1,687.4031805,72,1.080403311,1.201064873
25SV1-1,675.9431032,73,1.877232357,1.201526114
25SV1-1,725.6579719,74,0.694931238,1.216097893
25SV1-1,738.9110027,71,0.56827814,1.085531433
25SV1-1,728.7112491,73,0.897504694,1.483770461
25SV1-1,718.4365221,73,0.681138534,1.466352517
25SV1-1,728.8175888,75,0.784671299,1.29301168
25SV1-1,726.4353836,71,0.730678394,1.35237118
25SV1-1,726.7656194,75,0.886917448,1.27851683
25SV1-1,715.7407234,72,0.585159706,1.126601681
25SV1-1,739.4524449,75,0.689768655,1.491111727
25SV1-1,794.9312179,73,0.747451876,1.440945251
25SV1-1,740.0784095,73,0.740876032,1.588205734
25SV1-1,738.090168,75,0.826589867,1.395634663
25SV1-1,771.9044355,72,0.7777824,1.523793411
25SV1-1,735.3711928,74,0.780926566,1.4224949
25SV1-1,736.4162111,72,0.722488631,1.546990797
25SV1-1,753.7492449,74,0.784021866,1.493777736
25SV1-1,775.7626015,73,0.773025189,1.429727604
25SV1-1,735.657902,73,0.735307981,1.378596556
25SV1-1,734.9868935,72,0.737466422,1.385253526
25SV1-1,790.7613057,72,0.673367075,1.501469593
25SV1-1,761.0537059,75,0.708835574,1.65363442
25SV1-1,757.1939152,74,0.737066229,1.554783049
25SV1-1,776.9510013,72,0.658906135,1.625100406
25SV1-1,782.8421536,72,0.750504026,1.303324622
25SV1-1,730.2877521,73,0.677928783,1.481010995
25SV1-1,730.3914606,75,0.705345612,1.465011761
25SV1-1,780.7878319,72,0.810607009,1.349817818
25SV1-1,756.0189602,70,0.696620133,1.471507133
25SV1-1,728.2840784,75,0.801761023,1.242692547
25SV1-1,719.8026996,75,0.709409922,1.458969175
25SV1-1,723.497598,70,0.691460462,1.326634049
25SV1-1,723.9586929,76,0.766832655,1.447874831
25SV1-1,724.9838167,76,0.862393764,1.41191385
25SV1-1,789.057221,73,0.705245614,1.536182462
25SV1-1,742.9500809,74,0.675788825,1.32247597
25SV1-1,751.4735929,76,0.670787,1.219521632
25SV1-1,761.2474263,72,0.652113411,1.442071729
25SV1-1,785.702269,71,0.752595768,1.49170127
25SV1-1,724.1879632,71,0.694362784,1.478610318
25SV1-1,787.4437244,74,0.77690221,1.391985355
25SV1-1,722.9163696,73,0.790444644,1.429529858
25SV1-1,733.6232451,74,0.744787507,1.429107428
25SV1-1,734.1136311,75,0.807716563,1.428292867
25SV1-1,727.7459894,72,0.737083772,1.406668977
25SV1-1,727.9617798,73,0.809409362,1.222066072
25SV1-1,716.0026458,73,0.800122345,1.323243992
25SV1-1,746.3490169,75,0.638285777,1.351602646
,,,,
25CV02,571.5503361,73,0.54161954,1.109215209
25CV02,598.4192919,66,0.853461017,1.091229428
25CV02,576.2132774,57,0.863943388,1.08750825
25CV02,651.8359068,63,0.970938839,1.104569058
25CV02,584.2773976,74,1.004562577,1.141003314
25CV02,520.2826366,86,0.541515711,1.137427078
25CV02,644.4641365,57,0.975399048,0.965479495
25CV02,695.0615519,60,0.897348984,1.062081916
25CV02,704.3361056,72,0.964333213,1.02999489
25CV02,592.6666848,67,2.814817582,1.103589258
25CV02,638.8933551,60,3.538085877,1.29764106
25CV02,644.4641365,62,3.123205541,1.417094369
25CV02,629.1943403,63,2.901031747,1.148354042
25CV02,608.149796,62,1.720534361,1.12492707
25CV02,642.3077283,56,2.91832609,1.243861016
25CV02,622.3211358,50,2.261342186,1.127267944
25CV02,688.6436793,54,3.023601152,1.227060965
25CV02,586.0844931,79,3.106349042,1.117108679
25CV02,592.6666848,86,3.572122731,1.226262475
25CV02,545.1140917,57,1.438830368,1.17889063
25CV02,623.9332248,54,1.022552716,1.301869482
25CV02,611.3374235,11,1.465154264,1.296276792
25CV02,584.2773976,52,0.908017168,1.264118401
25CV02,601.0478569,73,1.744326442,0.977362068
25CV02,582.3943448,74,2.018572944,1.446005318
25CV02,633.3002915,51,1.479771368,1.080563134
25CV02,557.0512236,49,2.32344919,1.07096936
25CV02,540.2102664,65,0.63856295,1.235975513
,,,,
25LC2,758.9861374,100,0.80838932,1.149118668
25LC2,751.3561943,102,0.505737248,1.131853478
25LC2,792.9032963,94,0.520877103,1.354301976
25LC2,705.3957421,89,0.830499824,1.585712429
25LC2,753.3534358,100,0.839203233,1.441342375
25LC2,778.4657331,94,0.763792276,1.303102816
25LC2,724.769826,97,0.271756162,1.287246197
25LC2,678.4089315,97,0.522417952,1.134126022
25LC2,629.6347272,102,0.322092995,1.257741888
25LC2,676.9281616,98,0.284807435,1.179938219
25LC2,776.9935698,96,0.49601727,1.11569737
25LC2,720.5049897,95,0.410279894,1.283099223
25LC2,773.5180102,92,0.618643537,1.20429561
25LC2,788.0514046,96,0.531118125,1.146203105
25LC2,761.966196,100,0.596180324,1.234750856
25LC2,800.2521418,95,0.318461835,1.302153859
25LC2,801.011088,99,0.287636483,1.274533791
25LC2,778.4657331,101,0.405718529,1.317734562
25LC2,600.9680551,92,0.287203954,1.689527904
25LC2,641.5908595,98,0.25241788,1.462108479
25LC2,748.2333655,92,0.274026558,1.361142418
25LC2,712.0869103,96,0.27411783,1.289205431
25LC2,776.1762878,108,0.341281237,1.173953438
25LC2,841.7660778,101,0.17755588,1.346145309
25LC2,897.1286826,101,0.197476287,1.472062719
25LC2,791.0702639,101,0.289530766,1.435594807
25LC2,694.1065296,100,0.635142509,1.780217247
25LC2,767.2203249,99,0.379702235,1.382065362
25LC2,815.2743008,100,0.407115904,1.214213037
25LC2,846.446663,94,0.322951265,1.385569412
25LC2,847.1906335,98,0.321337049,1.293455431
25LC2,772.5103823,96,0.434949433,1.112975642
25LC2,686.5171252,93,0.696681703,1.358456916
25LC2,751.9621797,100,0.41407427,1.277466265
25LC2,784.648341,104,0.423170376,1.215997134
25LC2,808.1707139,96,0.268075245,1.01687074
25LC2,753.1565917,105,0.326275357,1.123846967
25LC2,789.2978734,100,0.500950087,1.382907919
25LC2,780.6774368,102,0.60568146,1.092048928
25LC2,778.7298582,94,0.397206944,1.127663983
,,,,
25LV1,840.2170092,77,1.511640211,1.837313166
25LV1,826.3166386,73,1.485406833,1.545943355
25LV1,814.262448,70,1.238165671,1.556940439
25LV1,761.5357559,71,1.261616521,1.620344357
25LV1,798.8639121,72,1.337586258,1.503046695
25LV1,803.0858593,68,1.265301609,1.243818916
25LV1,768.6447732,76,1.165472938,1.453090598
25LV1,775.7739672,75,1.332022183,1.195008178
25LV1,750.7342791,75,1.285085558,1.540006006
25LV1,785.0900503,74,1.41736514,1.549125754
25LV1,759.0824277,78,1.044414131,1.37528143
25LV1,736.3043435,79,1.326301633,1.2194652
25LV1,764.1869935,68,1.238378515,1.218944408
25LV1,753.1862085,78,1.317408731,1.288398586
25LV1,741.2944116,74,1.234472997,1.217419844
25LV1,813.8507575,78,1.162741426,1.653351514
25LV1,751.7969541,65,1.295820768,1.215154375
25LV1,716.3329143,74,1.267195582,1.363287151
25LV1,718.81711,84,1.28013208,1.69035917
25LV1,712.7325579,73,1.267071646,1.299284114
25LV1,709.2508933,76,1.196412211,1.181382003
25LV1,806.9125961,58,1.212739624,1.369462297
25LV1,697.7415137,76,1.48980318,1.237615497
25LV1,798.4356666,76,1.044665103,1.501967955
25LV1,726.7622381,81,1.006881576,1.260982086
25LV1,785.0900503,65,1.217411219,1.603655482
